customer_id,number_of_orders,Days in firstorder,Days in second_order,Days in third_order,Days in lastorder,days_since_last_order,average_ind_order_frequency,stages,stages_week_overtime,City,internalData__segmentation,final_group_median,group_avg_no_zeros,stages_by_groups,internalData__gender,average_order_frequency,female,days_since_firstorder,churn_group,berlin,churn_ind
550e93f4d3cde8f15d4b9279,38,3/22/2015,4/12/2015,4/21/2015,1/15/2016,45,8,Stage 3,Stage 3,Berlin,DCLAWF,23,8,Stage 3,male,45.06349206,0,344,0,1,0
54e4f55fd2cde8ea5829cfcc,35,2/18/2015,5/19/2015,6/1/2015,2/3/2016,26,10,Stage 3,Stage 3,Berlin,DCHHLA,23,10,Stage 3,male,53.3,0,376,0,1,0
55058990d4cde8750fa17077,34,3/16/2015,3/21/2015,4/2/2015,2/25/2016,4,10,Stage 2,Stage 2,Berlin,DCLAWF,23,10,Stage 2,male,45.06349206,0,350,0,1,0
54e6ff2ed4cde8a52f985ef3,32,2/20/2015,3/4/2015,3/10/2015,2/23/2016,6,12,Stage 2,Stage 2,Berlin,DC,47,12,Stage 2,male,61.43564356,0,374,0,1,0
54e26b57d4cde83151069a43,32,2/16/2015,2/27/2015,3/7/2015,2/19/2016,10,12,Stage 2,Stage 2,Berlin,DCLA,32,12,Stage 2,female,56.12340426,1,378,0,1,0
551269fed4cde8f708a2742c,29,3/25/2015,4/7/2015,4/17/2015,2/23/2016,6,12,Stage 2,Stage 2,Berlin,DCLA,32,12,Stage 2,male,52.83279221,0,341,0,1,0
54dd2cb0d3cde81315f7d14f,29,2/12/2015,2/19/2015,2/25/2015,2/27/2016,2,14,Stage 2,Stage 2,Berlin,LAWF,21,14,Stage 2,male,41.33333333,0,382,0,1,0
54d9c811d2cde82c5daba709,29,2/10/2015,2/25/2015,3/13/2015,2/15/2016,14,13,Stage 3,Stage 2,Berlin,LA,30,13,Stage 2,female,46.8019802,1,384,0,1,0
54ea324cd2cde87017017267,27,2/22/2015,3/2/2015,3/12/2015,12/15/2015,76,11,Stage 3,Stage 3,Berlin,DCLAWF,23,11,Stage 3,female,27.36842105,1,372,1,1,1
54e1ac16d2cde8c33a3654f5,26,2/16/2015,2/26/2015,3/10/2015,2/24/2016,5,15,Stage 2,Stage 2,Berlin,LA,30,15,Stage 2,male,47.97277228,0,378,0,1,0
55523b4dd4cde88a7c227357,26,6/5/2015,6/15/2015,6/30/2015,2/22/2016,7,10,Stage 2,Stage 2,Berlin,DC,47,10,Stage 2,male,61.43564356,0,269,0,1,0
54db0404d3cde8da67752f57,26,2/11/2015,2/22/2015,3/4/2015,2/26/2016,3,15,Stage 2,Stage 2,Berlin,DCLA,32,15,Stage 2,male,52.83279221,0,383,0,1,0
54eecf66d2cde85a6a4944ba,26,2/26/2015,3/11/2015,3/24/2015,2/17/2016,12,14,Stage 2,Stage 2,Berlin,LA,30,14,Stage 2,male,47.97277228,0,368,0,1,0
550d6063d4cde8f10ff2cd82,26,3/21/2015,4/14/2015,4/22/2015,2/11/2016,18,13,Stage 3,Stage 2,Berlin,LA,30,13,Stage 2,female,46.8019802,1,345,0,1,0
55075ddbd2cde88569f8f10e,26,3/16/2015,3/23/2015,3/27/2015,2/23/2016,6,14,Stage 2,Stage 2,Berlin,DCLA,32,14,Stage 2,female,56.12340426,1,350,0,1,0
54d63557d3cde81f2ed3104b,26,2/11/2015,2/22/2015,3/7/2015,2/22/2016,7,15,Stage 2,Stage 2,Berlin,DCLA,32,15,Stage 2,male,52.83279221,0,383,0,1,0
5555c8c3d3cde87260985425,25,5/15/2015,5/26/2015,6/2/2015,2/26/2016,3,12,Stage 2,Stage 2,Berlin,DCLA,32,12,Stage 2,male,52.83279221,0,290,0,1,0
